Year,Value (mm)
1972,112.9
1973,330.3
1974,171.1
1975,225.2
1976,277.0
1977,103.0
1978,262.0
1979,208.1
1980,119.5
1981,79.7
1982,399.0
1983,260.9
1984,273.0
1987,242.5
1989,104.0
1991,154.3
1993,116.0
1995,105.0
1996,97.7
1997,347.5
1999,127.7
2000,319.8
2001,242.2
2002,250.2
2003,113.3
2004,350.4
2006,204.8
2007,283.8
2008,255.6
2009,280.2
2010,129.7
2011,288.0
2012,270.2
2013,183.4
2014,205.6
2015,234.9
2016,336.2
2017,328.3
2018,136.1
2019,229.0
2020,156.1
2021,170.9
2022,616.8
