Year,Value (mm)
1986,151.0
1987,246.1
1988,268.1
1989,80.5
1990,125.5
1991,193.7
1992,216.5
1993,137.0
1994,226.2
1995,125.5
1997,99.5
1998,187.2
1999,105.4
2000,175.0
2001,169.5
2002,182.7
2003,200.4
2004,107.4
2007,110.9
2008,205.0
2009,198.4
2010,98.4
2011,195.6
2012,325.1
2013,390.1
2014,319.7
2015,291.8
2016,104.0
2017,273.7
2018,192.1
2019,226.7
2020,218.6
2021,322.7
2022,256.3
