Year,Value (mm)
1986,458.1
1987,450.5
1988,275.8
1989,78.9
1990,144.1
1992,160.2
1993,192.5
1994,308.9
1995,87.9
1999,139.2
2000,499.2
2001,275.2
2002,246.5
2003,180.4
2004,348.1
2006,163.0
2007,367.1
2008,439.7
2009,283.8
2010,154.4
2011,278.7
2012,373.1
2013,311.3
2014,360.0
2015,102.0
2016,279.6
2017,500.2
2018,133.8
2019,414.0
2020,316.3
2021,145.8
2022,647.5
