Year,Value (mm)
1986,189.0
1987,277.5
1988,262.5
1989,118.0
1990,210.1
1991,182.2
1992,172.5
1993,233.0
1994,146.6
1995,125.5
1996,134.9
1997,163.9
1998,75.0
1999,182.5
2000,133.8
2001,360.1
2002,181.4
2003,127.2
2004,126.6
2006,232.6
2007,109.6
2008,175.5
2009,178.1
2010,199.2
2011,151.3
2012,277.8
2013,612.0
2014,142.0
2015,104.7
2016,93.0
2017,210.6
2018,119.0
2019,153.2
2020,207.6
2021,308.8
2022,338.7
