Year,Value (mm)
1986,190.0
1987,234.5
1988,265.0
1989,101.5
1990,224.1
1991,149.6
1992,174.3
1993,241.2
1994,204.5
1995,112.0
1997,209.0
1998,87.4
1999,148.1
2000,108.2
2001,193.3
2002,231.1
2003,272.5
2004,233.2
2007,140.8
2008,222.3
2009,235.2
2010,164.6
2011,251.4
2012,307.1
2013,293.4
2014,286.1
2015,364.0
2016,109.4
2017,187.4
2018,232.4
2019,295.9
2020,215.1
2021,435.0
2022,192.6
