Year,Value (mm)
1978,143.2
1979,72.0
1980,147.5
1981,97.0
1982,230.8
1983,513.7
1984,320.6
1985,128.5
1986,445.5
1987,286.7
1988,300.1
1989,89.5
1990,244.4
1991,232.6
1993,320.5
1994,236.7
1995,143.6
1996,133.0
1997,219.0
2001,293.6
2002,218.1
2003,143.0
2004,286.5
2005,346.0
2006,251.5
2007,264.4
2008,190.8
2009,228.6
2010,174.2
2011,194.5
2012,305.4
2013,212.5
2014,257.2
2015,332.4
2016,248.1
2017,361.6
2018,139.8
2019,190.2
2020,259.9
2021,173.6
2022,517.4
