Year,Value (mm)
1978,369.9
1979,101.5
1980,155.2
1981,198.0
1982,214.3
1983,268.7
1984,227.9
1985,118.5
1986,379.1
1987,207.3
1988,294.1
1989,127.8
1990,138.5
1991,180.5
1992,278.1
1993,121.3
1994,226.4
1995,247.8
1996,290.6
1998,133.4
1999,139.4
2000,344.2
2001,346.6
2002,156.5
2003,165.5
2004,179.5
2006,67.7
2007,160.7
2008,229.0
2009,248.7
2010,148.4
2011,316.1
2012,282.8
2013,275.4
2014,272.3
2015,135.2
2016,219.7
2017,315.7
2018,177.7
2019,275.0
2020,299.3
2021,224.7
2022,295.4
