Year,Value (mm)
1986,388.4
1987,354.0
1988,318.3
1990,290.7
1991,202.2
1992,148.3
1993,126.8
1994,229.5
1995,111.5
1996,150.0
1997,181.0
1999,131.6
2000,122.6
2001,206.6
2002,146.5
2003,99.6
2004,141.1
2007,424.5
2008,258.0
2009,325.5
2010,115.8
2011,354.4
2012,160.1
2013,327.6
2014,233.8
2015,104.0
2016,215.0
2017,265.7
2018,180.3
2019,168.9
2020,193.4
2021,132.9
2022,365.0
