Year,Value (mm)
1985,137.0
1986,253.5
1987,198.0
1988,335.0
1989,139.6
1990,93.3
1991,211.3
1993,138.0
1994,215.0
1995,852.6
1997,269.0
1998,119.5
1999,146.6
2000,302.7
2001,155.9
2002,195.2
2003,136.5
2004,180.5
2005,431.5
2006,114.0
2007,191.7
2008,383.2
2009,231.4
2010,202.0
2011,248.1
2012,412.4
2013,269.4
2014,293.9
2015,263.3
2016,168.0
2017,446.8
2018,189.5
2019,257.5
2020,335.2
2021,167.8
2022,412.9
