Year,Value (mm)
1980,187.0
1982,227.7
1983,335.0
1984,114.5
1985,132.0
1987,282.5
1988,441.9
1989,142.3
1991,240.8
1992,93.0
1993,123.0
1994,374.0
1995,180.0
1999,266.8
2000,433.7
2001,333.5
2002,1340.0
2003,151.0
2004,229.0
2007,246.1
2008,276.6
2009,280.2
2010,168.2
2011,279.3
2012,431.2
2013,261.3
2014,296.3
2015,116.7
2016,203.0
2017,423.6
2018,207.0
2019,328.5
2020,232.4
2021,163.3
2022,596.2
