Year,Value (mm)
1984,101.0
1985,144.0
1986,427.1
1989,88.0
1990,272.5
1991,154.0
1992,141.0
1993,204.0
1994,128.5
1995,42.5
1996,124.0
1997,353.5
1999,115.6
2000,113.4
2001,265.6
2002,109.1
2003,208.5
2004,272.5
2005,530.0
2007,370.1
2008,340.9
2009,178.7
2010,127.7
2011,267.4
2012,331.0
2013,392.7
2014,331.5
2015,162.0
2016,442.8
2017,423.1
2018,188.6
2019,220.9
2020,174.0
2021,315.5
2022,498.5
