Year,Value (mm)
1985,138.5
1986,166.5
1987,154.5
1988,51.5
1990,491.1
1991,168.3
1992,238.4
1993,185.5
1994,210.5
1995,136.9
1996,149.5
1997,113.5
1998,171.3
1999,119.7
2000,166.6
2001,592.7
2002,157.7
2003,290.0
2004,158.0
2005,151.0
2006,311.7
2007,127.3
2008,161.0
2009,206.5
2010,203.8
2011,159.5
2012,284.3
2013,776.4
2014,231.1
2015,97.5
2016,127.2
2017,163.8
2018,152.6
2019,175.0
2020,157.1
2021,275.2
2022,325.4
