Year,Value (mm)
1971,153.4
1972,247.2
1973,51.2
1974,100.5
1975,453.0
1976,211.7
1977,127.0
1978,300.3
1979,231.5
1980,237.7
1981,606.3
1982,224.0
1983,250.3
1993,142.1
1997,234.4
1998,123.4
1999,178.4
2000,280.6
2001,167.0
2002,1189.0
2003,133.0
2004,149.5
2005,138.5
2007,105.7
2008,337.4
2009,280.2
2010,153.4
2011,214.3
2012,270.2
2013,231.1
2014,336.9
2015,202.4
2016,236.5
2017,322.2
2018,149.7
2019,335.8
2020,320.2
2021,149.3
2022,240.1
