Year,Value (mm)
1973,248.0
1974,207.0
1975,216.8
1976,168.6
1977,179.0
1978,314.0
1979,184.0
1980,169.3
1981,205.3
1982,241.5
1983,190.2
1984,197.0
1990,189.0
1991,132.8
1992,213.5
1997,224.5
1998,88.1
1999,100.2
2000,240.1
2001,271.3
2002,130.5
2003,150.5
2004,167.5
2005,219.0
2006,109.5
2007,182.1
2008,300.1
2009,288.7
2010,124.9
2011,282.8
2012,319.7
2013,263.1
2014,262.2
2015,116.9
2016,266.2
2017,243.7
2018,145.4
2019,370.7
2020,284.0
2021,214.9
2022,320.0
