Year,Value (mm)
1986,225.5
1987,241.5
1988,240.1
1989,75.0
1990,286.3
1991,158.5
1993,141.0
1994,247.3
1999,111.6
2000,233.8
2001,256.8
2002,192.4
2003,169.3
2004,224.2
2007,128.3
2008,223.7
2009,200.7
2010,103.7
2011,162.7
2012,352.8
2013,325.0
2014,335.9
2015,306.4
2016,135.3
2017,280.2
2018,217.9
2019,210.8
2020,230.3
2021,265.8
2022,447.4
